name,price,url,beds,baths,sqft,year_built,hoa
"802 N Lisbon Dr, Chandler, AZ 85226",954999,https://www.redfin.com/AZ/Chandler/802-N-Lisbon-Dr-85226/home/28337842,4 beds,3 baths,2632 sq. ft.,1995,$29/mo
"1723 W Mercury Way, Chandler, AZ 85224",543885,https://www.redfin.com/AZ/Chandler/1723-W-Mercury-Way-85224/home/28069342,4 beds,2.5 baths,2018 sq. ft.,1993,$36/mo
"1031 W Longhorn Dr, Chandler, AZ 85286",700000,https://www.redfin.com/AZ/Chandler/1031-W-Longhorn-Dr-85286/home/26959857,5 beds,3 baths,3290 sq. ft.,1999,$73/mo
"2424 E Peach Tree Dr, Chandler, AZ 85249",414999,https://www.redfin.com/AZ/Chandler/2424-E-Peach-Tree-Dr-85249/home/28150250,2 beds,2 baths,1316 sq. ft.,2001,$38/mo
"830 E Gila Ln, Chandler, AZ 85225",465000,https://www.redfin.com/AZ/Chandler/830-E-Gila-Ln-85225/home/27360798,3 beds,2.5 baths,1372 sq. ft.,1985,$63/mo
"3580 W Dublin St, Chandler, AZ 85226",625000,https://www.redfin.com/AZ/Chandler/3580-W-Dublin-St-85226/home/27947957,5 beds,2 baths,2600 sq. ft.,1990,$40/mo
"591 N Cheri Lynn Dr, Chandler, AZ 85225",487000,https://www.redfin.com/AZ/Chandler/591-N-Cheri-Lynn-Dr-85225/home/27738006,4 beds,2 baths,1726 sq. ft.,1967,
"838 E Nolan Pl, Chandler, AZ 85249",762669,https://www.redfin.com/AZ/Chandler/838-E-Nolan-Pl-85249/home/27920455,5 beds,3 baths,3080 sq. ft.,2003,$58/mo
"3608 W Morelos St, Chandler, AZ 85226",579999,https://www.redfin.com/AZ/Chandler/3608-W-Morelos-St-85226/home/27830617,4 beds,3 baths,1937 sq. ft.,1986,
"730 W Curry St, Chandler, AZ 85225",465000,https://www.redfin.com/AZ/Chandler/730-W-Curry-St-85225/home/27014851,3 beds,2 baths,1240 sq. ft.,1981,
"219 W Frye Rd, Chandler, AZ 85225",300000,https://www.redfin.com/AZ/Chandler/219-W-Frye-Rd-85225/home/27902722,2 beds,1 baths,957 sq. ft.,1984,
"4976 E Thunderbird Dr, Chandler, AZ 85249",630000,https://www.redfin.com/AZ/Chandler/4976-E-Thunderbird-Dr-85249/home/28036051,5 beds,3 baths,2640 sq. ft.,2002,$65/mo
"1311 N Congress Dr, Chandler, AZ 85226",774500,https://www.redfin.com/AZ/Chandler/1311-N-Congress-Dr-85226/home/27463118,5 beds,3 baths,2826 sq. ft.,1990,$44/mo
"3693 E Sparrow Pl, Chandler, AZ 85286",829900,https://www.redfin.com/AZ/Chandler/3693-E-Sparrow-Pl-85286/home/28235505,5 beds,3 baths,3136 sq. ft.,2006,$66/mo
"150 S Cooper Rd, Chandler, AZ 85225",1300000,https://www.redfin.com/AZ/Chandler/150-S-Cooper-Rd-85225/home/27310174,5 beds,4 baths,3165 sq. ft.,2025,
"1309 W Calle Del Norte --, Chandler, AZ 85224",449000,https://www.redfin.com/AZ/Chandler/1309-W-Calle-del-Norte-85224/home/26998111,2 beds,2 baths,1284 sq. ft.,1986,$42/mo
"3208 N EL Dorado Dr, Chandler, AZ 85224",430000,https://www.redfin.com/AZ/Chandler/3208-N-El-Dorado-Dr-85224/home/28098747,3 beds,1.75 baths,1216 sq. ft.,1979,
"866 W Geronimo St, Chandler, AZ 85225",545900,https://www.redfin.com/AZ/Chandler/866-W-Geronimo-St-85225/home/27817180,3 beds,2 baths,1527 sq. ft.,1996,$37/mo
"6805 S Sapphire Way, Chandler, AZ 85249",595000,https://www.redfin.com/AZ/Chandler/6805-S-Sapphire-Way-85249/home/28142894,3 beds,2.5 baths,2193 sq. ft.,2005,$65/mo
"2124 E Boston St, Chandler, AZ 85225",499000,https://www.redfin.com/AZ/Chandler/2124-E-Boston-St-85225/home/27578332,3 beds,2 baths,1474 sq. ft.,1984,
"910 S Crossbow Ct, Chandler, AZ 85225",515000,https://www.redfin.com/AZ/Chandler/910-S-Crossbow-Ct-85225/home/27802742,3 beds,2.5 baths,1588 sq. ft.,1995,$44/mo
"2339 E Virgo Pl, Chandler, AZ 85249",5500000,https://www.redfin.com/AZ/Chandler/2339-E-Virgo-Pl-85249/home/27870804,6 beds,7.5 baths,9625 sq. ft.,2002,$49/mo
"1220 S Wagon Wheel Dr, Chandler, AZ 85286",469000,https://www.redfin.com/AZ/Chandler/1220-S-Wagon-Wheel-Dr-85286/home/27867676,3 beds,2 baths,1399 sq. ft.,1996,$59/mo
"871 N Granada Dr, Chandler, AZ 85226",530000,https://www.redfin.com/AZ/Chandler/871-N-Granada-Dr-85226/home/28032253,3 beds,2 baths,1837 sq. ft.,1994,$29/mo
"3381 E Canary Way, Chandler, AZ 85286",589999,https://www.redfin.com/AZ/Chandler/3381-E-Canary-Way-85286/home/27996808,3 beds,3 baths,2298 sq. ft.,2004,$71/mo
"815 W EL Prado Rd, Chandler, AZ 85225",393500,https://www.redfin.com/AZ/Chandler/815-W-El-Prado-Rd-85225/home/27788464,2 beds,2 baths,1159 sq. ft.,1980,
"4123 S Wayne Pl, Chandler, AZ 85249",729000,https://www.redfin.com/AZ/Chandler/4123-S-Wayne-Pl-85249/home/27782346,4 beds,3 baths,2762 sq. ft.,2004,$75/mo
"6870 S Justin Way, Chandler, AZ 85249",785000,https://www.redfin.com/AZ/Chandler/6870-S-Justin-Way-85249/home/27940407,4 beds,3 baths,2757 sq. ft.,2003,$43/mo
"1121 W Mission Dr, Chandler, AZ 85224",775000,https://www.redfin.com/AZ/Chandler/1121-W-Mission-Dr-85224/home/26960094,4 beds,3 baths,2711 sq. ft.,1979,
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"6570 S Pewter Way, Chandler, AZ 85249",645000,https://www.redfin.com/AZ/Chandler/6570-S-Pewter-Way-85249/home/28043463,5 beds,3 baths,3140 sq. ft.,2004,$65/mo
"3307 N Apollo Dr, Chandler, AZ 85224",585000,https://www.redfin.com/AZ/Chandler/3307-N-Apollo-Dr-85224/home/28290734,4 beds,2 baths,1896 sq. ft.,1979,
"1898 E Kent Ave, Chandler, AZ 85225",545000,https://www.redfin.com/AZ/Chandler/1898-E-Kent-Ave-85225/home/27267098,4 beds,2.5 baths,2166 sq. ft.,1989,$30/mo
"5010 W Ivanhoe St, Chandler, AZ 85226",589900,https://www.redfin.com/AZ/Chandler/5010-W-Ivanhoe-St-85226/home/27338121,3 beds,2 baths,2198 sq. ft.,1995,$62/mo
"1150 E Tyson St, Chandler, AZ 85225",659900,https://www.redfin.com/AZ/Chandler/1150-E-Tyson-St-85225/home/28197351,7 beds,4 baths,2487 sq. ft.,1992,
"3387 E Bluejay Dr, Chandler, AZ 85286",585000,https://www.redfin.com/AZ/Chandler/3387-E-Bluejay-Dr-85286/home/28063398,3 beds,2 baths,1919 sq. ft.,2004,$71/mo
"1913 N Verano Way, Chandler, AZ 85224",500000,https://www.redfin.com/AZ/Chandler/1913-N-Verano-Way-85224/home/27666854,3 beds,2 baths,1196 sq. ft.,1980,
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"822 W EL Alba Way, Chandler, AZ 85225",446000,https://www.redfin.com/AZ/Chandler/822-W-El-Alba-Way-85225/home/27990865,3 beds,2 baths,1262 sq. ft.,1980,
